data_center_site,equipment_category,month,planned_units
DUB-06,Racks,2026-08-01,8
DUB-06,Racks,2026-09-01,13
DUB-06,Racks,2026-10-01,17
DUB-06,Racks,2026-11-01,22
DUB-06,Racks,2026-12-01,26
DUB-06,Racks,2027-01-01,30
DUB-06,Racks,2027-02-01,35
DUB-06,Racks,2027-03-01,39
DUB-06,Racks,2027-04-01,44
DUB-06,Racks,2027-05-01,48
DUB-06,Backup Generators,2026-07-01,0
DUB-06,Backup Generators,2026-08-01,0
DUB-06,Backup Generators,2026-09-01,0
DUB-06,Backup Generators,2026-10-01,0
DUB-06,Backup Generators,2026-11-01,0
DUB-06,Backup Generators,2026-12-01,0
DUB-06,Backup Generators,2027-01-01,0
DUB-06,Backup Generators,2027-02-01,0
DUB-06,Backup Generators,2027-03-01,0
DUB-06,Backup Generators,2027-04-01,0
DUB-06,Backup Generators,2027-05-01,0
SIN-07,GPU Servers,2026-07-01,1
SIN-07,GPU Servers,2026-08-01,3
SIN-07,GPU Servers,2026-09-01,5
SIN-07,GPU Servers,2026-10-01,7
SIN-07,GPU Servers,2026-11-01,9
SIN-07,GPU Servers,2026-12-01,11
SIN-07,GPU Servers,2027-01-01,13
SIN-07,GPU Servers,2027-02-01,15
SIN-07,GPU Servers,2027-03-01,17
SIN-07,NVIDIA GPU Systems,2026-07-01,0
SIN-07,NVIDIA GPU Systems,2026-08-01,0
SIN-07,NVIDIA GPU Systems,2026-09-01,1
SIN-07,NVIDIA GPU Systems,2026-10-01,1
SIN-07,NVIDIA GPU Systems,2026-11-01,2
SIN-07,NVIDIA GPU Systems,2026-12-01,2
SIN-07,NVIDIA GPU Systems,2027-01-01,3
SIN-07,NVIDIA GPU Systems,2027-02-01,3
SIN-07,NVIDIA GPU Systems,2027-03-01,4
SIN-07,InfiniBand Switches,2026-07-01,1
SIN-07,InfiniBand Switches,2026-08-01,2
SIN-07,InfiniBand Switches,2026-09-01,3
SIN-07,InfiniBand Switches,2026-10-01,4
SIN-07,InfiniBand Switches,2026-11-01,6
SIN-07,InfiniBand Switches,2026-12-01,7
SIN-07,InfiniBand Switches,2027-01-01,8
SIN-07,InfiniBand Switches,2027-02-01,9
SIN-07,InfiniBand Switches,2027-03-01,10
SIN-07,Network Equipment,2026-07-01,1
SIN-07,Network Equipment,2026-08-01,2
SIN-07,Network Equipment,2026-09-01,4
SIN-07,Network Equipment,2026-10-01,5
SIN-07,Network Equipment,2026-11-01,7
SIN-07,Network Equipment,2026-12-01,8
SIN-07,Network Equipment,2027-01-01,9
SIN-07,Network Equipment,2027-02-01,11
SIN-07,Network Equipment,2027-03-01,12
SIN-07,Transformers,2026-07-01,0
SIN-07,Transformers,2026-08-01,0
SIN-07,Transformers,2026-09-01,0
SIN-07,Transformers,2026-10-01,0
SIN-07,Transformers,2026-11-01,0
SIN-07,Transformers,2026-12-01,0
SIN-07,Transformers,2027-01-01,0
SIN-07,Transformers,2027-02-01,0
SIN-07,Transformers,2027-03-01,0
SIN-07,Chillers,2026-07-01,0
SIN-07,Chillers,2026-08-01,0
SIN-07,Chillers,2026-09-01,0
SIN-07,Chillers,2026-10-01,0
SIN-07,Chillers,2026-11-01,0
SIN-07,Chillers,2026-12-01,0
SIN-07,Chillers,2027-01-01,0
SIN-07,Chillers,2027-02-01,0
SIN-07,Chillers,2027-03-01,0
SIN-07,Cooling Systems,2026-07-01,0
SIN-07,Cooling Systems,2026-08-01,0
SIN-07,Cooling Systems,2026-09-01,1
SIN-07,Cooling Systems,2026-10-01,1
SIN-07,Cooling Systems,2026-11-01,2
SIN-07,Cooling Systems,2026-12-01,2
SIN-07,Cooling Systems,2027-01-01,3
SIN-07,Cooling Systems,2027-02-01,3
SIN-07,Cooling Systems,2027-03-01,4
SIN-07,UPS Systems,2026-07-01,0
SIN-07,UPS Systems,2026-08-01,0
SIN-07,UPS Systems,2026-09-01,0
SIN-07,UPS Systems,2026-10-01,0
SIN-07,UPS Systems,2026-11-01,0
SIN-07,UPS Systems,2026-12-01,0
SIN-07,UPS Systems,2027-01-01,0
SIN-07,UPS Systems,2027-02-01,0
SIN-07,UPS Systems,2027-03-01,0
SIN-07,Power Distribution Units,2026-07-01,3
SIN-07,Power Distribution Units,2026-08-01,7
SIN-07,Power Distribution Units,2026-09-01,10
SIN-07,Power Distribution Units,2026-10-01,14
SIN-07,Power Distribution Units,2026-11-01,18
SIN-07,Power Distribution Units,2026-12-01,21
SIN-07,Power Distribution Units,2027-01-01,25
SIN-07,Power Distribution Units,2027-02-01,28
SIN-07,Power Distribution Units,2027-03-01,32
SIN-07,Storage Systems,2026-07-01,0
SIN-07,Storage Systems,2026-08-01,0
SIN-07,Storage Systems,2026-09-01,0
SIN-07,Storage Systems,2026-10-01,0
SIN-07,Storage Systems,2026-11-01,1
SIN-07,Storage Systems,2026-12-01,1
SIN-07,Storage Systems,2027-01-01,1
SIN-07,Storage Systems,2027-02-01,1
SIN-07,Storage Systems,2027-03-01,1
SIN-07,Racks,2026-07-01,3
SIN-07,Racks,2026-08-01,7
SIN-07,Racks,2026-09-01,11
SIN-07,Racks,2026-10-01,15
SIN-07,Racks,2026-11-01,19
SIN-07,Racks,2026-12-01,23
SIN-07,Racks,2027-01-01,27
SIN-07,Racks,2027-02-01,31
SIN-07,Racks,2027-03-01,35
SIN-07,Backup Generators,2026-07-01,0
SIN-07,Backup Generators,2026-08-01,0
SIN-07,Backup Generators,2026-09-01,0
SIN-07,Backup Generators,2026-10-01,0
SIN-07,Backup Generators,2026-11-01,0
SIN-07,Backup Generators,2026-12-01,0
SIN-07,Backup Generators,2027-01-01,0
SIN-07,Backup Generators,2027-02-01,0
SIN-07,Backup Generators,2027-03-01,0
SLC-08,GPU Servers,2026-07-01,3
SLC-08,GPU Servers,2026-08-01,6
SLC-08,GPU Servers,2026-09-01,9
SLC-08,GPU Servers,2026-10-01,13
SLC-08,GPU Servers,2026-11-01,16
SLC-08,GPU Servers,2026-12-01,19
SLC-08,GPU Servers,2027-01-01,23
SLC-08,GPU Servers,2027-02-01,26
SLC-08,GPU Servers,2027-03-01,29
SLC-08,GPU Servers,2027-04-01,33
SLC-08,GPU Servers,2027-05-01,36
SLC-08,GPU Servers,2027-06-01,39
SLC-08,NVIDIA GPU Systems,2026-07-01,0
SLC-08,NVIDIA GPU Systems,2026-08-01,1
SLC-08,NVIDIA GPU Systems,2026-09-01,2
SLC-08,NVIDIA GPU Systems,2026-10-01,3
SLC-08,NVIDIA GPU Systems,2026-11-01,4
SLC-08,NVIDIA GPU Systems,2026-12-01,4
SLC-08,NVIDIA GPU Systems,2027-01-01,5
SLC-08,NVIDIA GPU Systems,2027-02-01,6
SLC-08,NVIDIA GPU Systems,2027-03-01,7
SLC-08,NVIDIA GPU Systems,2027-04-01,8
SLC-08,NVIDIA GPU Systems,2027-05-01,9
SLC-08,NVIDIA GPU Systems,2027-06-01,9
SLC-08,InfiniBand Switches,2026-07-01,2
SLC-08,InfiniBand Switches,2026-08-01,4
SLC-08,InfiniBand Switches,2026-09-01,6
SLC-08,InfiniBand Switches,2026-10-01,8
SLC-08,InfiniBand Switches,2026-11-01,10
SLC-08,InfiniBand Switches,2026-12-01,12
SLC-08,InfiniBand Switches,2027-01-01,14
SLC-08,InfiniBand Switches,2027-02-01,16
SLC-08,InfiniBand Switches,2027-03-01,18
SLC-08,InfiniBand Switches,2027-04-01,20
SLC-08,InfiniBand Switches,2027-05-01,22
SLC-08,InfiniBand Switches,2027-06-01,24
SLC-08,Network Equipment,2026-07-01,2
SLC-08,Network Equipment,2026-08-01,4
SLC-08,Network Equipment,2026-09-01,7
SLC-08,Network Equipment,2026-10-01,9
SLC-08,Network Equipment,2026-11-01,12
SLC-08,Network Equipment,2026-12-01,14
SLC-08,Network Equipment,2027-01-01,17
SLC-08,Network Equipment,2027-02-01,19
SLC-08,Network Equipment,2027-03-01,22
SLC-08,Network Equipment,2027-04-01,24
SLC-08,Network Equipment,2027-05-01,27
SLC-08,Network Equipment,2027-06-01,29
SLC-08,Transformers,2026-07-01,0
SLC-08,Transformers,2026-08-01,0
SLC-08,Transformers,2026-09-01,0
SLC-08,Transformers,2026-10-01,0
SLC-08,Transformers,2026-11-01,0
SLC-08,Transformers,2026-12-01,0
SLC-08,Transformers,2027-01-01,0
SLC-08,Transformers,2027-02-01,0
SLC-08,Transformers,2027-03-01,0
SLC-08,Transformers,2027-04-01,0
SLC-08,Transformers,2027-05-01,0
SLC-08,Transformers,2027-06-01,0
SLC-08,Chillers,2026-07-01,0
SLC-08,Chillers,2026-08-01,0
SLC-08,Chillers,2026-09-01,0
SLC-08,Chillers,2026-10-01,0
SLC-08,Chillers,2026-11-01,0
SLC-08,Chillers,2026-12-01,0
SLC-08,Chillers,2027-01-01,0
SLC-08,Chillers,2027-02-01,0
SLC-08,Chillers,2027-03-01,0
SLC-08,Chillers,2027-04-01,0
SLC-08,Chillers,2027-05-01,0
SLC-08,Chillers,2027-06-01,0
SLC-08,Cooling Systems,2026-07-01,0
SLC-08,Cooling Systems,2026-08-01,1
SLC-08,Cooling Systems,2026-09-01,2
SLC-08,Cooling Systems,2026-10-01,3
SLC-08,Cooling Systems,2026-11-01,4
SLC-08,Cooling Systems,2026-12-01,4
SLC-08,Cooling Systems,2027-01-01,5
SLC-08,Cooling Systems,2027-02-01,6
SLC-08,Cooling Systems,2027-03-01,7
SLC-08,Cooling Systems,2027-04-01,8
SLC-08,Cooling Systems,2027-05-01,9
SLC-08,Cooling Systems,2027-06-01,9
SLC-08,UPS Systems,2026-07-01,0
SLC-08,UPS Systems,2026-08-01,0
SLC-08,UPS Systems,2026-09-01,0
SLC-08,UPS Systems,2026-10-01,0
SLC-08,UPS Systems,2026-11-01,0
SLC-08,UPS Systems,2026-12-01,0
SLC-08,UPS Systems,2027-01-01,0
SLC-08,UPS Systems,2027-02-01,0
SLC-08,UPS Systems,2027-03-01,1
SLC-08,UPS Systems,2027-04-01,1
SLC-08,UPS Systems,2027-05-01,1
SLC-08,UPS Systems,2027-06-01,1
SLC-08,Power Distribution Units,2026-07-01,6
SLC-08,Power Distribution Units,2026-08-01,12
SLC-08,Power Distribution Units,2026-09-01,18
SLC-08,Power Distribution Units,2026-10-01,24
SLC-08,Power Distribution Units,2026-11-01,31
SLC-08,Power Distribution Units,2026-12-01,37
SLC-08,Power Distribution Units,2027-01-01,43
SLC-08,Power Distribution Units,2027-02-01,49
SLC-08,Power Distribution Units,2027-03-01,56
SLC-08,Power Distribution Units,2027-04-01,62
SLC-08,Power Distribution Units,2027-05-01,68
SLC-08,Power Distribution Units,2027-06-01,74
SLC-08,Storage Systems,2026-07-01,0
SLC-08,Storage Systems,2026-08-01,0
SLC-08,Storage Systems,2026-09-01,1
SLC-08,Storage Systems,2026-10-01,1
SLC-08,Storage Systems,2026-11-01,1
SLC-08,Storage Systems,2026-12-01,2
SLC-08,Storage Systems,2027-01-01,2
SLC-08,Storage Systems,2027-02-01,2
SLC-08,Storage Systems,2027-03-01,3
SLC-08,Storage Systems,2027-04-01,3
SLC-08,Storage Systems,2027-05-01,3
SLC-08,Storage Systems,2027-06-01,4
SLC-08,Racks,2026-07-01,6
SLC-08,Racks,2026-08-01,13
SLC-08,Racks,2026-09-01,20
SLC-08,Racks,2026-10-01,26
SLC-08,Racks,2026-11-01,33
SLC-08,Racks,2026-12-01,40
SLC-08,Racks,2027-01-01,47
SLC-08,Racks,2027-02-01,53
SLC-08,Racks,2027-03-01,60
SLC-08,Racks,2027-04-01,67
SLC-08,Racks,2027-05-01,74
SLC-08,Racks,2027-06-01,80
SLC-08,Backup Generators,2026-07-01,0
SLC-08,Backup Generators,2026-08-01,0
SLC-08,Backup Generators,2026-09-01,0
SLC-08,Backup Generators,2026-10-01,0
SLC-08,Backup Generators,2026-11-01,0
SLC-08,Backup Generators,2026-12-01,0
SLC-08,Backup Generators,2027-01-01,0
SLC-08,Backup Generators,2027-02-01,0
SLC-08,Backup Generators,2027-03-01,0
SLC-08,Backup Generators,2027-04-01,0
SLC-08,Backup Generators,2027-05-01,0
SLC-08,Backup Generators,2027-06-01,0
